contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
META251226C00715000,2025-12-23 17:54:38+00:00,715.0,0.02,0.02,0.03,-0.030000001,-60.0,244.0,1285.0,0.2695385546875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.025,0.2695385546875,,,,
META251226C00717500,2025-12-23 14:30:02+00:00,717.5,0.05,0.01,0.03,0.0,0.0,1.0,152.0,0.28125718749999995,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.02,0.28125718749999995,,,,
META251226C00720000,2025-12-23 17:51:21+00:00,720.0,0.03,0.02,0.03,-0.020000001,-40.000004,213.0,5616.0,0.2929758203124999,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.025,0.2929758203124999,,,,
META251226C00722500,2025-12-22 19:35:36+00:00,722.5,0.02,0.01,0.03,-0.02,-50.0,14.0,126.0,0.304694453125,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.02,0.304694453125,,,,
META251226C00725000,2025-12-23 16:40:34+00:00,725.0,0.02,0.01,0.02,-0.02,-50.0,558.0,938.0,0.3007882421875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.015,0.3007882421875,,,,
META251226C00730000,2025-12-23 16:56:14+00:00,730.0,0.02,0.0,0.02,-0.01,-33.333336,18.0,1546.0,0.3242255078124999,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.02,0.3242255078124999,,,,
META251226C00735000,2025-12-23 17:50:27+00:00,735.0,0.01,0.01,0.02,-0.03,-75.0,17.0,674.0,0.3437565625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.015,0.3437565625,,,,
META251226C00740000,2025-12-23 17:09:21+00:00,740.0,0.01,0.01,0.02,-0.01,-50.0,144.0,487.0,0.36524072265625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.015,0.36524072265625,,,,
META251226C00745000,2025-12-22 20:54:02+00:00,745.0,0.01,0.0,0.4,0.0,0.0,18.0,503.0,0.5034229345703125,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.5034229345703125,,,,
META251226C00750000,2025-12-23 17:24:57+00:00,750.0,0.01,0.0,0.01,-0.02,-66.66667,11.0,2465.0,0.38281867187499996,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.38281867187499996,,,,
META251226C00755000,2025-12-23 17:13:39+00:00,755.0,0.01,0.0,0.01,0.0,0.0,73.0,538.0,0.398443515625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.398443515625,,,,
META251226C00760000,2025-12-23 17:12:36+00:00,760.0,0.01,0.0,0.02,0.0,0.0,30.0,1128.0,0.445318046875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.445318046875,,,,
META251226C00765000,2025-12-22 17:00:44+00:00,765.0,0.01,0.0,0.01,0.0,0.0,34.0,491.0,0.437505625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.437505625,,,,
META251226C00770000,2025-12-22 18:09:45+00:00,770.0,0.01,0.0,0.01,0.0,0.0,129.0,1308.0,0.45313046875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.45313046875,,,,
