contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
SPY251224C00691000,2025-12-23 18:03:21+00:00,691.0,0.04,0.03,0.04,-0.030000001,-49.999996,3737.0,5255,0.040048662109374994,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.035,0.040048662109374994,,,,
SPY251224C00692000,2025-12-23 18:02:01+00:00,692.0,0.02,0.02,0.03,-0.02,-50.0,3205.0,3695,0.04688453125,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.025,0.04688453125,,,,
SPY251224C00693000,2025-12-23 18:03:15+00:00,693.0,0.02,0.01,0.02,0.0,0.0,2099.0,2402,0.051767294921875,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.051767294921875,,,,
SPY251224C00694000,2025-12-23 17:57:55+00:00,694.0,0.02,0.01,0.02,0.01,100.0,1764.0,1926,0.059579716796875,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.059579716796875,,,,
SPY251224C00695000,2025-12-23 17:51:45+00:00,695.0,0.02,0.01,0.02,0.0,0.0,1683.0,2169,0.06739213867187502,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.06739213867187502,,,,
SPY251224C00696000,2025-12-23 16:02:14+00:00,696.0,0.01,0.01,0.02,-0.01,-50.0,104.0,516,0.07520456054687502,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.07520456054687502,,,,
SPY251224C00697000,2025-12-23 16:24:47+00:00,697.0,0.01,0.01,0.02,-0.01,-50.0,17.0,1747,0.08301698242187502,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.08301698242187502,,,,
SPY251224C00698000,2025-12-23 17:13:01+00:00,698.0,0.01,0.01,0.02,-0.01,-50.0,44.0,1913,0.0898528515625,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.0898528515625,,,,
SPY251224C00699000,2025-12-23 16:08:08+00:00,699.0,0.01,0.01,0.02,-0.01,-50.0,34.0,1244,0.0976652734375,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.0976652734375,,,,
SPY251224C00700000,2025-12-23 18:05:51+00:00,700.0,0.01,0.01,0.02,0.0,0.0,878.0,4614,0.1054776953125,False,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,0.015,0.1054776953125,,,,
